"Región ","Comuna ","Establecimiento ","Ocupación"
"Valparaíso ","Viña del Mar ","Liceo Bicentenario de Viña del Mar ","Albergue de personas con entrega de alimentación"
"Valparaíso ","Viña del Mar ","Liceo Guillermo Rivera Cotapos ","Albergue de personas con entrega de alimentación"
"Valparaíso ","Viña del Mar ","Escuela Básica Humberto Vilches Alzamora ","Albergue de personas con entrega de alimentación "
"Valparaíso ","Viña del Mar ","Escuela República de Colombia ","Albergue de personas con entrega de alimentación "
"Valparaíso ","Viña del Mar ","Escuela Santa Julia ","Albergue de personas con entrega de alimentación "
"Valparaíso ","Viña del Mar ","Liceo Bicentenario José Francisco Vergara ","Albergue de personas con entrega de alimentación "
"Valparaíso ","Viña del Mar ","Escuela República del Ecuador ","Acopio "
"Valparaíso ","Quilpué ","Liceo Comercial Alejandro Lubet ","Albergue de personas con entrega de alimentación "
"Valparaíso ","Quilpué ","Escuela Comandante Eleuterio Ramírez Molina ","Albergue de personas "
"Valparaíso ","Quilpué ","Colegio Fernando Durán Villarreal ","Albergue de personas con entrega de alimentación "
"Valparaíso ","Quilpué ","Liceo Guillermo Gronemeyer Zamorano ","Mascotas y entrega de alimentación a personas"
"Valparaíso ","Quilpué ","Liceo Gastronomía y Turismo ","Acopio "
"Valparaíso ","Villa Alemana ","Escuela Manuel Montt ","Albergue de personas con entrega de alimentación "
"Valparaíso ","Villa Alemana ","Escuela Catalunya ","Brigadistas "
"Valparaíso ","Concón ","Escuela Oro Negro ","Albergue de personas con entrega de alimentación "
"O´Higgins  ","Navidad  ","Escuela Municipal Confederación Helvética  ","Albergue de personas "
"O´Higgins  ","San Fernando ","Liceo Eduardo Charme ","Albergue de personas con entrega de alimentación "
"O´Higgins  ","Pumanque ","Escuela Municipal de Pumanque ","Brigadistas y entrega de alimentación a personas"
"El Maule ","Constitución ","Liceo Constitución","Brigadistas y entrega de alimentación a personas"
"El Maule ","Hualañé ","Escuela Caone ","Brigadistas "
"El Maule ","Hualañé ","Escuela Orilla de Navarro ","Brigadistas "
"El Maule ","Pencahue ","Escuela Municipal Osvaldo Hiriart Corvalán  ","Brigadistas y entrega de alimentación a personas"
"El Maule ","Sagrada Familia ","Escuela El Durazno ","Brigadistas "
"La Araucanía ","Galvarino ","Escuela Gabriela Mistral ","Albergue de personas con entrega de alimentación "
"La Araucanía ","Lonquimay ","Escuela Fronteriza ","Albergue de personas "
"La Araucanía ","Lonquimay ","Liceo Bicentenario ","Brigadistas "
"La Araucanía ","Lonquimay ","Escuela El Troyo ","Brigadistas "
"Los Lagos ","San Pablo ","Internado Liceo Fray Pablo de Royo ","Albergue de personas "
"Los Lagos ","Puerto Montt ","Instituto Comercial de Puerto Montt ","Brigadistas "
"Los Lagos ","Puerto Montt ","Escuela Rural Trapén ","Brigadistas "
