Nombre de la empresa,Nombre de contacto,Correo ,Teléfono,Página web,"RRSS
Instagram",Objetivo de esta campaña (Qué buscan o recolectan),Cuenta corriente
Desafío levantemos Chile,Catalina Parga,"info@desfiochile.cl
cparga@desafiochile.cl",no informa,www.desafiolevantemoschile.cl,https://www.instagram.com/p/C24k_IoOjab/?utm_source=ig_web_copy_link,Aporte monetario en ayuda de los afectados,"Nombre: Desafío Levantemos Chile 
Cuenta corriente 98027-07
Banco de Chile
Rut: 65943320-6
correo: info@desafiochile.cl"
Municipalidad de Viña del Mar,no informa / se publicará en rrss,Participacionciudadana@munivina.cl,no informa,https://www.munivina.cl/,https://www.instagram.com/municipiovina?utm_source=ig_web_button_share_sheet&igsh=ZDNlZDc0MzIxNw==,Diversas acciones existe una lista de donaciones en sus rrss,no informa
Techo Chile,,carolina.hidalgo@techo.org,no informa,https://cl.techo.org/,https://www.instagram.com/techochile?utm_source=ig_web_button_share_sheet&igsh=ZDNlZDc0MzIxNw==,"Aporte monetario en ayuda de los afectados
+INFO DE LA CAMPAÑA 
https://drive.google.com/drive/folders/1mY6ukhnAgXzapjLanBDRKesiy2c-Hkc2?usp=drive_link","Nombre: Techo Chile
Cuenta Corriente: 062020
Banco Santander
Rut: 65.533.130-11
mail: administracionchile@techo.org"
Colegio Sagrada Familia de Reñaca,no informa / se publicará en rrss,no informa,no informa,www.colegiosagradafamilia.cl,https://www.instagram.com/colegiosagradafamilia_oficial?utm_source=ig_web_button_share_sheet&igsh=ZDNlZDc0MzIxNw==,"Centro de Acopio, agua, barritas de cereal, galletas, frazadas, útiles de aseo",no informa
Hogar de Cristo,no informa / se publicará en rrss,no informa,no informa,www.hogardecristo.cl,https://www.instagram.com/hogardecristocl?utm_source=ig_web_button_share_sheet&igsh=ZDNlZDc0MzIxNw==,Aporte monetario en ayuda de los afectados,"Cuenta corriente 6227426-3
Banco Santander
Rut: 81496800-6"
Goodplayers ,José Ignacio Aracena ,nacho@goodplayers.cl,56994207517,Goodplayers.cl,https://www.instagram.com/goodplayers.cl?igsh=MWc5eTdwczM4dXc0bA==,"En goodplayers creamos una plataforma que transforma la colaboración entre empresas y fundaciones. Presentamos un ecosistema de productos y servicios disponibles entre diversas empresas, para poder ofrecer sus capacidades a las organizaciones de la sociedad civil en diferentes partes del país.

Simplificamos la coordinación de donaciones y acciones sociales, maximizando el impacto al unir esfuerzos corporativos con causas significativas, es decir, la capacidad de ayuda con la necesidad de ser ayudado.","Datos bancarios de Goodplayers SPA

Banco BCI
Tipo cuenta: Corriente
Rut: 77716227-6
Nº de cuenta: 89288891
Correo: tomas@goodplayers.cl"
Fundación Ronda ,María José Escudero ,Jo@rondachile.cl,56966071639,Www.rondachile.cl,Jo@rondachile.cl,"Centro de acopio y aporte monetario para daminificadas(os) de Forestal, Achupallas, Villa Independencia y otros sectores. Además de apoyo a cuerpo de bomberos con aguas, bebidas isotónicas, barras de cereal, etc.","Banco de Crédito e Inversiones, Bci 
Nombre: Fundación Ronda 
RUT: 65.111.202-8
Cuenta Corriente N°:  18750656
Correo: administracion@rondachile.cl"
Fundación Comunidad para el Desarrollo,Fernando Matte,contacto@comunidadparaeldesarrollo.org,56988180378,www.comunidadparaeldesarrollo.org,comunidadparaeldesarrollo,Aportar utiles de aseo e higiene personal,"Fundación Comunidad para el Desarrollo 
rut 65.135.762-4 
Banco Estado 01-0-035284-2
contacto@comunidadparaeldesarrollo.org"
Cruz Roja Chilena,no informa / se publicará en rrss,no informa,no informa,www.cruzroja.cl,https://www.instagram.com/p/C25CydKOK34/?utm_source=ig_web_copy_link,,Centros de Acopio
Clínica Veterinaria Los Castaños,no informa / se publicará en rrss,no informa,Fono: 32-2833494,veterinarialoscastanos.cl,https://www.instagram.com/clinicavet_loscastanos?utm_source=ig_web_button_share_sheet&igsh=ZDNlZDc0MzIxNw==,Atención Veterinaria,"clinicavet_loscastanos
 
14 h
VIÑA DEL MAR: AVENIDA LOS CASTAÑOS 125, VIÑA DEL MAR.
QUILPUÉ: AVENIDA LOS CARRERA 1130, QUILPUÉ."
