Región,Comuna,Ubicación,Nombre,Horario,¿Qué recibe?,Info adicional,Mapa
Tarapacá,Iquique,San Martín 150,Centro Victoria,Desde lunes 5 de 09:00-18:00 hrs,"Útiles de aseo personal, leche y alimentos para niños, agua, alimentos para animales, elementos de botiquín básico para curaciones, alimentación de contingencia para equipos de bomberos y brigadistas (bebidas isotónicas y barras de cereal), elementos de seguridad, papel higiénico y toallas higiénicas, frazadas.",,https://maps.app.goo.gl/pgZoQsNnyh9sXaAw6
Tarapacá,Alto Hospicio,,Gimnasio Techado Municipal / Oficina Territorial (piso -1),Lunes a viernes entre 9 y 17 hrs.,Alimentos no perecibles y agua.,,https://maps.app.goo.gl/fHuDQTcKNogGdzEXA
Tarapacá,Alto Hospicio,Anfiteatro Plaza de Armas y Plaza de Armas,"Eventos municipales: noche del recuerdo, viva el verano, noche del amor.","Sábado 3 de febrero, viernes 9 de febrero y viernes 16 de febrero, respectivamente.",Alimentos no perecibles y agua.,Ir a eventos municipales a dejar donación. @munimaho,https://maps.app.goo.gl/FxWDr31znMt13KPh7
Tarapacá,Iquique,Avenida Luis Emilio Recabarren 2477,Universidad de Tarapacá sede Esmeralda,Lunes 5 y martes 6 de 08:30 a 16:00 hrs,"Agua, bebidas isotónicas, útiles de aseo y menstruales, pañales, alimentos no perecibles.",Si quieres ayudar en los centros de acopio comunícate con la FEDUTI (@feduti24),https://maps.app.goo.gl/wBhBT69rpCZE1cUs7
Tarapacá,Iquique,Avenida la Tirana 4802,Universidad de Tarapacá sede La Tirana,Lunes 5 y martes 6 de 08:30 a 16:00 hrs,"Agua, bebidas isotónicas, útiles de aseo y menstruales, pañales, alimentos no perecibles.",Si quieres ayudar en los centros de acopio comunícate con la FEDUTI (@feduti24),https://maps.app.goo.gl/4EzdKzS9FKMEbm879
Antofagasta,Calama,Av. Granaderos 3464,Liceo A-27 Jorge Alessandri R.,"Desde lunes 5  de 13 a 20 hrs, martes a viernes de 9:30 a 19 hrs., sábado y domingo de 9:30 a 18 hrs.","Artículos de aseo, alimentos no perecibles y envasados, agua embotellada, pañales de niños y adultos.",,https://maps.app.goo.gl/fSSBD9Z6bfnP9kEx8
Antofagasta,Mejillones,Punto de acopio a informarse día lunes,Llamado a juntar insumos,,"Agua embotellada, bebidas isotónicas, elementos de aseo personal, pañales desechables, comida en conserva, toallas higiénicas, comida para perros y gatos, palas, carretillas y guantes nuevos.",Info en @munimejillones,
Antofagasta,Antofagasta,Av. Angamos 601,Campus Angamos Universidad de Antofagasta,"Desde lunes 5 a domingo 11 de 09 a 16 hrs,","Agua sin gas, alimentos no perecibles, útiles de aseos (toallas Higiénicas, pañales, toallitas húmedas, desodorante, etc.), bolsas de basura, mascarillas K95, alimentos de mascotas",1. NO SE ACEPTARÁ ROPA DE NINGUN TIPO. 2. Reciben volunarixs para los distintos puntos de acopio destinados en la ciudad,https://maps.app.goo.gl/FNJ4coLv7ZoK2GpeA
Atacama,Copiapó,O´Higgins 150 (tienda 4 en Espacio Minga),Coorporación Padrinos Mágicos,Martes a sábado (12:30 a 19:00),"Utiles escolares, mochilas y estuches nuevos.",@corporacion_padrinos_magicos,https://maps.app.goo.gl/t3pNtuNGLzKjtsUHA
Coquimbo,Canela,,Salón Auditorium Municipalidad,"Sábado 3 de 18 a 20 hrs., domingo 4 de 10 a 20 hrs.","Alimentos no perecibles, útiles de aseo, pañales, alimento para perros y gatos, agua embotellada, barras de cereal, útiles para la emergencia como mascarillas, guantes, palas, etc.",,https://maps.app.goo.gl/4tkTt9rDVmEtLL4w8
Coquimbo,,,Gimnasio municipal,Lunes 5 de 9 a 20 hrs.,"Alimentos no perecibles, útiles de aseo, pañales, alimento para perros y gatos, agua embotellada, barras de cereal, útiles para la emergencia como mascarillas, guantes, palas, etc.",,https://maps.app.goo.gl/mUvcBXBNsFvKmVtm9
Coquimbo,Illapel,,Hall municipalidad y sede comunitaria villa San Rafael,"A partir del lunes, de 9 a 21 hrs.","Alimentos no perecibles, agua embotellada, productos de higiene, alimento para mascotas (perros y gatos).",Domingo 4 se puede ir a dejar donaciones a actividad Boulevard en la plaza desde las 19 hrs.,"https://maps.app.goo.gl/nC4e7PaFd7h9TRJq8
https://maps.app.goo.gl/yji2aVHGknDfxntz8"
Coquimbo,Los Vilos,"Av. Caupolicán, frente a supermercado Unimarc",Stand municipal,Domingo de 10 a 20:30 hrs.,"Alimentos no perecibles, alimentos para niños/as (cereales, colados, barritas, leche, etc), agua embotellada, bebidas isotónicas, leche fórmula para bebé, alimentos para mascota, útiles de aseo (pasta dental, toallas higiénicas, cepillos de dientes, etc.), ropa interior nueva, pañales, linternas, herramientas de construcción, cocinillas, colchones, frazadas, sacos de dormir.",También puedes entregar donaciones en todas las actividades municipales.,
Coquimbo,,Lautaro 489,Bomberos,No especifica.,,,https://maps.app.goo.gl/yLVDhb2vZSM5JPf4A
Coquimbo,,,Plaza Los Lobos,Domingo y lunes desde las 19:30 hrs. hasta las 23 hrs.,,,https://maps.app.goo.gl/NZibM6ezTKmvCTuK7
Coquimbo,,Lincoyán 255,Municipalidad de Los Vilos,Lunes y martes desde las 8:30 hrs. hasta las 18 hrs.,,,https://maps.app.goo.gl/73uhYaM3BVqqQzTx7
Coquimbo,,,Delegaciones municipales,Lunes y martes desde las 8:30 hasta las 18 hrs.,,,
Coquimbo,Salamanca,Matilde Salamanca 430,Salón Escuela Matilde Salamanca,"Sábado y domingo de 16 a 20 hrs., Lunes a viernes de 9 a 20 hrs.","Útiles de aseo domiciliario y personal, ropa de cama en buen estado, alimentos no perecibles, agua embotellada, pañales desechables, alimento de mascotas, elementos para curaciones.",,https://maps.app.goo.gl/UcPgXKzY8W9FdEJbA
Coquimbo,Andacollo,Urmeneta 720,Edificio Consistorial,Lunes a viernes de 9 am en adelante,"Alimentos, utensilios personales, comida para perros y gatos, etc.",Posteriormente se abrirán nuevos puntos de acopio.,https://maps.app.goo.gl/HsyGS6azghDJKB5s5
Coquimbo,Coquimbo,Bilbao 348,Dideco,Lunes a viernes de 9 a 17 hrs.,"Alimentos no perecibles, agua embotellada, artículos de aseo, pañales de niño y adulto.",,https://maps.app.goo.gl/MuAbA4etcX73p9o38
Coquimbo,La Serena,,Coliseo Monumental,Desde el lunes 5 entre las 10 y 17:30 hrs.,"Agua embotellada, guantes, alimentos no perecibles, bloqueador solar, útiles de aseo.",,https://maps.app.goo.gl/YiLvUjFMguMyxHrD6
Coquimbo,Monte Patria,,Edificio Municipal y Oficinas Municipales del territorio,Desde las 9 hasta las 17 hrs.,"Útiles de aseo, agua embotellada, bebidas isotónicas (para personal de emergencia), alimentos no perecibles (preferir conservas, legumbres y harinas), alimentos para mascotas, implementos para remover escombros en buenas condiciones.",NO SE RECIBE ROPA.,https://maps.app.goo.gl/t6Ss2su85T6wCTiq9
,,,,,,,
Valparaíso,Viña del Mar,Alvarez N°708,Liceo Guillermo Rivera,24/7,"Útiles de aseo, colchones,  frazadas, agua",Solo dejar lo señalado ,https://maps.app.goo.gl/CbL2DkRQtuNJER857
Valparaíso,,4 norte 1275,CRUZ ROJA CHILENA,08AM A 08PM,"Agua embotellada, alimentos no perecibles, útiles de aseo, ropa interior nueva, pañales bebe y adulto, alimento de mascota",@cruzrojachilena,https://maps.app.goo.gl/S7zj9X47mACPFVPn7
Valparaíso,,12 norte 785 of 50,Pelvisalud,Desde lunes 5 de 8 a 20 hrs.,"Ropa interior femenina NUEVA, toallas higiénicas, Cepillos (dentales y pelo), Pasta dental, Cremas, Bloqueador solar, Toallas Húmedas, jabón",También pueden coordinar para ir a buscar tu aporte.,https://maps.app.goo.gl/iBkoaS7qYTq4pAmG8
Valparaíso,,"Valdés 141, Cerro Placeres",Federación de Estudiantes UTFSM,Sabado 3 10-18hrs,"Articulos de aseo, agua, barras de cereal, alimentos no perecibles",,https://maps.app.goo.gl/Dy6H4riqG7ENeXhMA
Valparaíso,Quilpué,Diaguitas 1751,Liceo Gastronómico,,"Agua, colchones, frazadas, barras de cereal, leche, pañales para adultos y niños, mamaderas, comida para perros y gatos adultos y cachorros, bozales, leche sustituta para perro y gato.",Muni Quilpue actualizando,https://maps.app.goo.gl/YRzUwKMuzo1s4GxL6
Valparaíso,,"Aviador Acevedo 2289, esquina Cardenal Caro",Cafeteria El Encuentro,,Ropa interior para niños y niñas,,https://maps.app.goo.gl/fjDxa5NKqZXNKPVe9
Valparaíso,Concón,Calle 7,Oficina de operaciones Muni Concon,8AM ABRE,"Agua embotellada, bebidas isotónicas, artículos de higiene personal. Utiles de aseo, ropa interior nueva. Insumos para MASCOTAS: Agua, alimento, camas.",No se recibe ropa usada,https://maps.app.goo.gl/w1cG6pbcW8hASsr89
